AREACD,AREANM,total
UKK41,Plymouth ,9.26
UKJ31,Portsmouth ,13.38
UKL24,Powys ,15.89
UKI53,Redbridge and Waltham Forest ,13.99
UKG37,Sandwell ,15.54
UKM91,Scottish Borders ,13.15
UKD73,Sefton ,16.38
UKE32,Sheffield ,17.94
UKM66,Shetland Islands ,2.5
UKG22,Shropshire ,19.72
UKG32,Solihull ,17.05
UKK23,Somerset ,14.98
UKF13,South and West Derbyshire ,19.13
UKM94,South Ayrshire ,11.49
UKJ35,South Hampshire ,16.75
UKM95,South Lanarkshire ,12.88
UKF16,South Nottinghamshire ,17.9
UKC12,South Teesside ,15
UKL14,South West Wales ,12.36
UKJ32,Southampton ,19.92
UKH31,Southend-on-Sea ,11.07
UKG24,Staffordshire ,20.36
UKG23,Stoke-on-Trent ,18.76
UKH14,Suffolk ,14.37
UKC23,Sunderland,15.29
UKL18,Swansea,12.58
UKK14,Swindon,15.94
UKG21,Telford and Wrekin ,19.74
UKH32,Thurrock ,14.34
UKK42,Torbay ,9.83
UKI42,Tower Hamlets ,11.29
UKC22,Tyneside ,14.44
UKE45,Wakefield ,19.27
UKG38,Walsall ,16.29
UKI34,Wandsworth ,15.25
UKD61,Warrington,17.24
UKG13,Warwickshire ,19.37
UKD11,West Cumbria ,12.67
UKH35,West Essex ,17.6
UKJ46,West Kent ,16.31
UKM78,West Lothian ,12.7
UKF24,West Northamptonshire,16.86
UKJ25,West Surrey,19.77
UKJ28,West Sussex (North East),18.16
UKJ27,West Sussex (South West),14.34
UKI32,Westminster ,14.87
UKK15,Wiltshire,17.77
UKD74,Wirral ,14.78
UKG39,Wolverhampton,16.26
UKG12,Worcestershire,20.04
UKE21,York ,18
UKM61,Highland,7.68
